"ravens_group","score","unique_id","start_time"
4,29,"2d2aad27caac3d826ebb001f87fbc1f17aafab3e","2021-11-11 21:30:11"
1,27,"9d7e75800aca5b8497ee001a2372d27c1f3cc944","2021-11-11 21:38:09"
4,29,"b2a29716440f168917131f6e2d9fa7c9a57c73df","2021-11-11 22:54:23"
3,13,"3d4970f52b46b8b7b380d33af83a79afcaf94af8","2021-11-12 15:13:30"
5,17,"03b3b33126e8bcbdf089f30d76afdfd461931faa","2021-11-12 15:52:53"
3,22,"d8f9b2e71fd43ad35056cb17ea829129fd7bee19","2021-11-12 16:14:10"
5,25,"a75a9ec9ec99773561b859a326f50376c87c552d","2021-11-12 17:00:45"
3,30,"6a7f6825ec6e6c8510716e93e8c33390c4265b7b","2021-11-12 17:03:35"
6,26,"5a775285293bf8eab289d2d7c7c68ebb2dc9a234","2021-11-12 17:18:05"
3,11,"cac0ee2abeb468fbda57c2c359004b9116b99ffe","2021-11-12 19:02:51"
2,17,"adebf5d6631e1827259aa7362da45da05467baf6","2021-11-12 19:04:17"
NA,29,"9b51fe9d84968ccd0a45c28b331435745a23b35d","2021-11-13 00:18:01"
4,22,"dda6227bf476d08d2a6fc05405f3ff7416332800","2021-11-15 15:23:33"
6,25,"9e40d3ee62a7242d7af6351424122bae8526cc90","2021-11-15 17:08:32"
1,22,"07843fb7f1f7233615a64372906632a6fcda5c2e","2021-11-15 17:38:12"
5,21,"0de83fc8cc2de7abcc11a65793113c74b716fad6","2021-11-15 18:22:40"
6,30,"da43363aab4eeac09f97b10cfd6e8cd38daee2b3","2021-11-15 19:29:13"
6,19,"69822d0c5d351ebc0fe3b9dff3f0c60fa559f9dc","2021-11-15 21:00:55"
3,32,"37270c4655c96ceab7acd1193e7b9f3911c44c71","2021-11-15 21:42:22"
3,15,"6ff27c6b1cdad402c207b118971a8210de3a82f7","2021-11-15 21:54:09"
3,16,"142548c01c82029fdf5641f45be224d0117ca9eb","2021-11-15 23:04:32"
1,14,"d7a3a711b062e172f90bb8b3e0a62014a7b64277","2021-11-16 00:04:49"
4,13,"77ccc13194765bfaa44a077fcd207dbb87bc0f33","2021-11-16 00:12:25"
3,8,"0556db72d64ec149b10da45d88415e91322970f2","2021-11-16 17:39:24"
3,20,"9b34b3f867dae8639c11c05d7651a9e4e03d356e","2021-11-16 18:19:23"
2,27,"f9a7ea6a98a7a45b8b9e7534bcb42ef2fecaabce","2021-11-16 18:41:45"
NA,12,"2bbc456167a63777f7c27603f3e2945dbe43870b","2021-11-16 19:03:24"
NA,5,"b89489a30d8acb83cf7e7d07f0d8e99c18aa77af","2021-11-16 19:14:22"
NA,22,"ef4d7caddfbfef075a9ea6be3ab9328120d63314","2021-11-16 21:37:21"
NA,5,"0c2b68898b70e4575660cf856fb9f996ecbd249c","2021-11-16 21:37:50"
1,0,"dc950ca0f9b53ac7962196c9eae75bfeb5255204","2021-11-17 15:32:59"
3,22,"032ead25f35fb5bd1ec595a0cff29d138eb33df8","2021-11-17 18:00:50"
3,14,"cd9756d342bee79d78dc7637639fc37633c2358b","2021-11-17 18:17:01"
5,15,"dc70693111e99868158a863c74cfacf7d868dbf8","2021-11-17 18:24:34"
5,33,"56712a0b31dbf5a8c22729ea133050a759992d33","2021-11-17 19:02:15"
2,23,"e393615b4534ada999c6c351b2d3f2a7e35986b6","2021-11-17 19:06:18"
5,18,"1cd75aeba6c19f5387602039932656c29cc278c3","2021-11-17 19:14:30"
5,24,"c6ea82d685c01fb4e97610627e1a1e857666f962","2021-11-17 19:45:12"
2,9,"69753af339300e62239cc4ea6ceafd49172fc19a","2021-11-17 20:00:28"
1,16,"b044607054492694cb6fd4e305b3b8f25b388632","2021-11-17 20:08:22"
3,23,"a1e7d13aa4650df5ec89aea90cdd460797594aee","2021-11-17 20:11:15"
1,15,"fdde30880e74a4c69ed8190dab518938b9344218","2021-11-17 20:34:41"
1,5,"c32eea2cd9e584b3c14f76d83901efffff18f2d1","2021-11-17 20:41:35"
1,18,"727ca5321970c0d6406fd5939a4e6d37f2d57dda","2021-11-17 21:15:54"
4,1,"5b69253c02eb297c026b00bd7906f3a4f8370950","2021-11-17 21:45:21"
6,23,"3eddd2a5fcae82eaa23249c67698f7a5cad83a09","2021-11-17 23:10:50"
6,20,"c8a714242fe0e434b961dfd3176577e2144bb8e8","2021-11-18 14:13:03"
2,23,"4e6994f0067ea7656a3a4bb6a63552506c27ea59","2021-11-18 15:31:55"
1,22,"c2a21fdd8ae677c9306bc4a80b86f7b6d642826d","2021-11-18 15:58:58"
NA,17,"cc9b732b47f1ad2f273118011cfc8f9264b25617","2021-11-18 16:28:28"
1,13,"69fbfef9ebaeeb02003d29959475c21be70de928","2021-11-18 16:37:19"
4,21,"43ade56e67753aa887bee4e5c7375ae86183092a","2021-11-18 17:09:31"
5,22,"1ca43ecd1ff3cd1971114216b94c603d3600eb51","2021-11-18 17:18:37"
5,24,"3292c643c393e8191bdf0063cf404ae76084a39f","2021-11-18 18:08:47"
2,6,"b2efb7808f113a5f534682e67a0bb61a00dc16b9","2021-11-18 18:31:20"
1,19,"8aeab3b30692d27ef1ab4c0321cbc4660381d086","2021-11-18 18:56:31"
5,6,"3053b8b2c88e9f1e3b10ed78921c998ab5df85cb","2021-11-18 19:03:08"
5,27,"cf811a666662a9abf0e913e83b6c950d77c28557","2021-11-18 19:03:32"
5,3,"acf67fe59dcee73229b0de926d09a1803fa7856c","2021-11-18 19:10:30"
1,25,"fe7069577568b773c2a22344515b5a677464b02d","2021-11-18 19:12:39"
1,15,"49dee26b3465d7ef1ceac77f14ed16daf35cf1f1","2021-11-18 19:28:10"
1,2,"68a1b316a15f31ebdc3d7b3a2957ee38c3edf5c0","2021-11-18 20:13:58"
3,19,"56b891e27345e0062b727a6b0ca178f40a263141","2021-11-18 20:35:26"
